u,v,key,oneway,length,ref,bridge,junction,tunnel,area,geometry
176434053,2498905360,0,False,9.503,,,,,,"LINESTRING (475233.94954471337 4428086.2480662465, 475234.97039189475 4428095.67903729)"
176434053,176434047,0,False,91.424,,,,,,"LINESTRING (475233.94954471337 4428086.2480662465, 475235.6374417746 4428064.5991916545, 475239.5687289801 4428024.118826909, 475241.3207681378 4428014.301460341, 475241.5292496126 4428012.79129502, 475249.48555579246 4427997.326464893)"
176434053,176506511,0,False,126.69799999999998,,,,,,"LINESTRING (475233.94954471337 4428086.2480662465, 475245.81433866353 4428078.406735908, 475271.25555415277 4428053.572853048, 475276.45115100004 4428050.115224991, 475310.89614179824 4428037.905274602, 475345.10843018716 4428035.507899231)"
176434081,176492315,0,False,93.928,,,,,,"LINESTRING (475346.3325042374 4428115.595529153, 475346.09004834626 4428209.3510000855)"
176434081,8189740318,0,False,110.988,,,,,,"LINESTRING (475346.3325042374 4428115.595529153, 475336.74209631304 4428114.117126594, 475326.504848097 4428113.21799067, 475318.73994118546 4428114.020119382, 475312.94471426815 4428116.813714698, 475308.17844986037 4428121.046866822, 475284.7347851251 4428156.41835152, 475277.58004121744 4428161.1032500565, 475271.863727249 4428161.898770157, 475266.2269967002 4428160.918168552, 475261.26697565155 4428158.048511585, 475259.7421913993 4428156.37749528)"
176434081,176506511,0,False,80.336,,,,,,"LINESTRING (475346.3325042374 4428115.595529153, 475347.0757706154 4428055.213645536, 475345.10843018716 4428035.507899231)"
176434081,176439726,0,False,197.481,,,,,,"LINESTRING (475346.3325042374 4428115.595529153, 475356.9871297702 4428116.226959704, 475368.6780694586 4428115.301166302, 475414.0535564832 4428104.610183131, 475419.6788335325 4428102.039197692, 475425.2119459957 4428097.359672327, 475427.8528756029 4428093.122359304, 475429.9989236313 4428086.300539495, 475431.04283944203 4428076.518801912, 475430.8885198742 4428036.662192463, 475431.5193037725 4427983.528448102)"
176434220,176448975,0,False,12.114,,,,,,"LINESTRING (475461.3874849222 4429489.257561309, 475465.5240222169 4429477.889741915)"
176434220,3351870765,0,False,9.362,,,,,,"LINESTRING (475461.3874849222 4429489.257561309, 475458.3266210563 4429498.091296032)"
176434220,5536510244,0,True,58.910000000000004,CO 119,,,,,"LINESTRING (475461.3874849222 4429489.257561309, 475451.81915796484 4429488.7889793385, 475437.61262393004 4429487.036783903, 475429.3987746608 4429485.809110268, 475420.5610368552 4429484.305982213, 475416.7350351526 4429483.474811089, 475411.5422132699 4429482.22629196, 475403.23121239996 4429479.988934203)"
176434222,395375497,0,False,48.655,,,,,,"LINESTRING (475572.9693342728 4429528.322645354, 475560.9423880667 4429575.388561277)"
176434222,2497702871,0,False,61.376999999999995,,,,,,"LINESTRING (475572.9693342728 4429528.322645354, 475565.0908158142 4429525.195786831, 475548.56697448064 4429521.996837202, 475527.4238287238 4429510.122121334, 475515.98585067206 4429506.784785517)"
176434222,5536508956,0,False,45.587,,,,,,"LINESTRING (475572.9693342728 4429528.322645354, 475578.9271823817 4429525.983778914, 475586.36726870365 4429525.460425609, 475602.2393292901 4429527.673720398, 475617.51965579635 4429531.653716786)"
176434224,395375499,0,False,54.93,,,,,,"LINESTRING (475647.1030329779 4429780.746879802, 475643.6750844643 4429794.054694227)"
176434224,2497379514,0,False,53.421,,,,,,"LINESTRING (475647.1030329779 4429780.746879802, 475595.2430348147 4429767.516422387)"
176434224,395375489,0,False,60.875,,,,,,"LINESTRING (475647.1030329779 4429780.746879802, 475659.03528381063 4429728.031900445, 475660.29421807826 4429721.423850674)"
176434224,176491091,0,False,111.606,,,,,,"LINESTRING (475647.1030329779 4429780.746879802, 475698.63953525305 4429793.878830916)"
176434228,4753456359,0,False,108.881,,,,,,"LINESTRING (475799.4068128415 4429579.698239997, 475810.92901105917 4429582.758253048, 475833.8622965318 4429588.834287708, 475904.8147377565 4429607.766332241)"
176434228,2497675573,0,False,81.958,,,,,,"LINESTRING (475799.4068128415 4429579.698239997, 475789.02922003285 4429576.967575669, 475719.9988289344 4429558.807414018)"
176434228,544300494,0,False,102.98199999999999,,,,,,"LINESTRING (475799.4068128415 4429579.698239997, 475801.8335554084 4429569.934330237, 475808.19537006144 4429544.341558171, 475815.4753411992 4429517.624854727, 475824.562710819 4429484.942150148, 475825.84528571327 4429480.343009397)"
176434228,176491081,0,False,56.14,,,,,,"LINESTRING (475799.4068128415 4429579.698239997, 475797.3440348854 4429588.517561219, 475791.0209539922 4429615.530917663, 475786.5746170578 4429634.258308726)"
176434230,4753456359,0,False,20.843,,,,,,"LINESTRING (475924.98919195257 4429613.152134277, 475904.8147377565 4429607.766332241)"
176434230,5078274229,0,False,56.45,,,,,,"LINESTRING (475924.98919195257 4429613.152134277, 475910.0817531765 4429667.507677033)"
176434230,176434232,0,False,101.316,,,,,,"LINESTRING (475924.98919195257 4429613.152134277, 476009.8833088004 4429634.0166847035, 476023.5653647228 4429637.369883204)"
176434232,544204532,0,True,20.169,,,,,,"LINESTRING (476023.5653647228 4429637.369883204, 476043.19166523725 4429642.180568492)"
176434232,176434230,0,False,101.316,,,,,,"LINESTRING (476023.5653647228 4429637.369883204, 476009.8833088004 4429634.0166847035, 475924.98919195257 4429613.152134277)"
176434232,4753456356,0,False,55.977000000000004,,,,,,"LINESTRING (476023.5653647228 4429637.369883204, 476027.1773983112 4429624.5167352585, 476030.0636765329 4429614.251987647, 476038.1335742029 4429583.415211762)"
176436824,176492319,0,False,92.683,,,,,,"LINESTRING (475376.70652172994 4428301.408258314, 475375.8352087714 4428208.899489784)"
176436824,9708462000,0,False,59.776,,,,,,"LINESTRING (475376.70652172994 4428301.408258314, 475316.8054620732 4428301.768867462)"
176436824,6988301419,0,False,163.62,,,,,,"LINESTRING (475376.70652172994 4428301.408258314, 475449.033808801 4428297.944636933, 475419.2225043333 4428322.725460978, 475397.69689883426 4428344.116554241, 475375.6002291063 4428347.2625188455)"
176436824,6988301419,1,False,45.964,,,,,,"LINESTRING (475376.70652172994 4428301.408258314, 475376.90884404397 4428311.174874541, 475375.6002291063 4428347.2625188455)"
176439726,176439740,0,False,110.07600000000001,,,,,,"LINESTRING (475431.5193037725 4427983.528448102, 475442.4240175005 4427982.250135529, 475479.5327005907 4427975.315559434, 475485.5974018899 4427976.627915604, 475488.4185025869 4427977.950725974, 475509.04927238025 4427999.028195497, 475516.3794208454 4428001.013551673, 475531.4599660083 4428000.299086069)"
176439726,176434081,0,False,197.481,,,,,,"LINESTRING (475431.5193037725 4427983.528448102, 475430.8885198742 4428036.662192463, 475431.04283944203 4428076.518801912, 475429.9989236313 4428086.300539495, 475427.8528756029 4428093.122359304, 475425.2119459957 4428097.359672327, 475419.6788335325 4428102.039197692, 475414.0535564832 4428104.610183131, 475368.6780694586 4428115.301166302, 475356.9871297702 4428116.226959704, 475346.3325042374 4428115.595529153)"
176439726,176548937,0,False,133.92199999999997,,,,,,"LINESTRING (475431.5193037725 4427983.528448102, 475433.5776737962 4427912.53154311, 475431.8532987281 4427907.209512308, 475428.42461466894 4427902.780919024, 475423.7198475909 4427899.688348834, 475378.63708440517 4427890.433115137)"
